brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,color,vin
Audi,A3,2020,1885000,1850,150,1.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,
Audi,Q5,2014,1649000,81205,245,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,Q5,2010,899000,80115,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BEIGE,
Audi,A6,2014,900000,250000,180,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q7,2016,3290000,70986,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BEIGE,
Audi,Q5,2020,3502360,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZFY1L2****57
Audi,A8,2019,10638000,0,460,4.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF83KN****98
Audi,A8,2019,10638000,0,460,4.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF86KN****36
Audi,A8,2019,10638000,0,460,4.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF80KN****52
Audi,Q5,2020,3810000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZFY6L2****59
Audi,Q5,2020,3460000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,WAUZZZFY4L2****83
Audi,Q5,2020,3460000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZFY2L2****92
Audi,A6,2008,629000,176334,255,3.1,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,A4,2003,355000,333000,163,1.8,GASOLINE,FORWARD_CONTROL,MT,,4,LEFT,,,GREY,
Audi,A1,2010,500000,163000,122,1.4,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,3,LEFT,,,BROWN,
Audi,Q7,2006,647000,151381,350,4.2,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A4,2010,525000,160000,160,1.8,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,
Audi,Q3,2015,750000,50559,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,,
Audi,Q5,2010,837000,119958,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A5,2019,3100000,28958,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,COUPE,2,LEFT,,,GREY,
Audi,Q5,2013,1460000,151655,177,2.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,Q7,2006,759000,312241,233,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,Q3,2017,1932700,85966,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,
Audi,A6,2003,369000,277928,170,2.4,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q5,2014,1899000,81378,225,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A4,2016,2180000,62000,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,Q7,2016,3045900,120066,249,3.0,DIESEL,ALL_WHEEL_DRIVE,AT,,,LEFT,,,GREY,
Audi,A6,2006,465000,144240,,3.2,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q7,2007,750000,171250,280,3.6,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,
Audi,A6,2012,1250000,113500,204,2.8,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,BLACK,
Audi,Q5,2020,3602194,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,WHITE,WAUZZZFY6L2****41
Audi,Q3,2020,3018808,0,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF34M1****33
Audi,Q3,2020,3167980,0,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF38M1****67
Audi,Q3,2020,2848380,0,180,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,RED,WAUZZZF38M1****33
Audi,A8,2020,10050636,0,340,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLUE,WAUZZZF85LN****87
Audi,A8,2020,8415534,0,340,3.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,,LEFT,,,BLACK,WAUZZZF89LN****53
Audi,A6,2020,3753000,0,245,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,SILVER,WAUZZZF21MN****44
Audi,A5,2020,3680000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,WHITE,WAUZZZF53MA****95
Audi,A5,2020,3680000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,BLACK,WAUZZZF54MA****45
Audi,A5,2020,3757808,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,GREY,WAUZZZF58MA****20
Audi,A5,2020,3680000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,GREY,WAUZZZF56MA****96
Audi,A5,2020,3680000,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,RED,WAUZZZF5XMA****84
Audi,A5,2020,3757808,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,,2,LEFT,,,GREY,WAUZZZF53MA****37
Audi,A4,2020,2781028,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,WAUZZZF42MN****16
Audi,A4,2020,2781028,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,WAUZZZF48MN****64
Audi,A4,2020,2781028,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,WAUZZZF44MN****10
Audi,A4,2020,2656944,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,WAUZZZF4XMA****39
Audi,A4,2020,2781028,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,WAUZZZF43MN****17
Audi,A4,2020,2599027,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLACK,WAUZZZF4XMN****21
Audi,A4,2020,2697936,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,WAUZZZF42MN****41
Audi,A4,2020,2755853,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,WAUZZZF45MA****14
Audi,A4,2020,2781028,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,WAUZZZF43MN****08
Audi,A4,2020,2993340,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,BLUE,WAUZZZF42MN****47
Audi,A4,2020,2781028,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,WAUZZZF44MN****22
Audi,A4,2020,2993340,0,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AT,SEDAN,2,LEFT,,,GREY,WAUZZZF47MN****08
Audi,A4,2020,2276004,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,BLUE,WAUZZZF4XMA****90
Audi,A4,2020,2275000,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,SILVER,WAUZZZF40MA****41
Audi,A4,2020,2275000,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,GREY,WAUZZZF45MA****98
Audi,A4,2020,2275000,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,WAUZZZF42MA****88
Audi,A4,2020,2275000,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,SILVER,WAUZZZF40MA****80
Audi,A4,2020,2275000,0,150,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,SILVER,WAUZZZF40MA****88
Audi,A4,2020,2467428,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,WAUZZZF47MA****01
Audi,A4,2020,2467428,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,WHITE,WAUZZZF44MA****83
Audi,A4,2020,2597599,0,190,2.0,GASOLINE,FORWARD_CONTROL,AT,SEDAN,2,LEFT,,,RED,WAUZZZF42MA****35
