brand,model,year,mileage,engine_type,transmission,color,bodywork,doors_num,steering_wheel,vin,owners_num,tech_condition,horsepower,engine_capacity,price,price_currency,price_with_nds
Audi,A3,2012,97556,GASOLINE,FORWARD_CONTROL,040001,HATCHBACK_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,105,1.2 AMT (105 л.с.),652000,RUR,False
Audi,Q5,2010,139000,GASOLINE,ALL_WHEEL_DRIVE,97948F,ALLROAD_5_DOORS,5,LEFT,XW8**************,2,NOT_BEATEN,211,2.0 AMT (211 л.с.) 4WD,900000,RUR,False
Audi,A4,2003,400000,GASOLINE,FORWARD_CONTROL,CACECB,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,163,1.8 MT (163 л.с.),300000,RUR,False
Audi,Q8,2018,46000,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,340,55 TFSI 3.0 AT (340 л.с.) 4WD,5450000,RUR,False
Audi,A5,2017,51000,GASOLINE,ALL_WHEEL_DRIVE,97948F,LIFTBACK,5,LEFT,WAU**************,1,NOT_BEATEN,249,2.0 AMT (249 л.с.) 4WD,2895000,RUR,False
Audi,Q5,2015,67205,GASOLINE,ALL_WHEEL_DRIVE,040001,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,225,2.0 AT (225 л.с.) 4WD,1679000,RUR,False
Audi,Q7,2019,17610,DIESEL,ALL_WHEEL_DRIVE,0000CC,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,249,3.0d AT (249 л.с.) 4WD,4575000,RUR,False
Audi,Q7,2008,197000,DIESEL,ALL_WHEEL_DRIVE,0000CC,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,326,4.1d AT (326 л.с.) 4WD,900000,RUR,False
Audi,Q7,2008,212000,DIESEL,ALL_WHEEL_DRIVE,C49648,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,326,4.1d AT (326 л.с.) 4WD,795000,RUR,False
Audi,A4,2008,155000,GASOLINE,FORWARD_CONTROL,EE1D19,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,160,1.8 CVT (160 л.с.),615000,RUR,False
Audi,A1,2013,82225,GASOLINE,FORWARD_CONTROL,EE1D19,HATCHBACK_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,122,1.4 AMT (122 л.с.),679000,RUR,False
Audi,TT,2001,167000,GASOLINE,FORWARD_CONTROL,97948F,COUPE,2,LEFT,TRU**************,3,NOT_BEATEN,180,1.8 MT (180 л.с.),350000,RUR,False
Audi,A8,2007,170000,GASOLINE,ALL_WHEEL_DRIVE,0000CC,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,350,Long 4.2 AT (350 л.с.) 4WD,800000,RUR,False
Audi,A8,2008,187000,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,1,NOT_BEATEN,260,Long 3.1 CVT (260 л.с.),640000,RUR,False
Audi,Q5,2011,132000,GASOLINE,ALL_WHEEL_DRIVE,97948F,ALLROAD_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,211,2.0 AMT (211 л.с.) 4WD,999000,RUR,False
Audi,A5,2014,96000,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,COUPE,2,LEFT,WAU**************,3,NOT_BEATEN,225,2.0 AMT (225 л.с.) 4WD,1250000,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,0000CC,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,40 TFSI 2.0 AMT (190 л.с.),2466000,RUR,False
Audi,e-tron,2020,0,ELECTRO,ALL_WHEEL_DRIVE,0000CC,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,408,55 Electro AT (301 кВт) 4WD,6981281,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,0000CC,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,40 TFSI 2.0 AMT (190 л.с.),2800000,RUR,False
Audi,A8,2019,22229,GASOLINE,ALL_WHEEL_DRIVE,200204,SEDAN,4,LEFT,WAU**************,1,NOT_BEATEN,340,55 TFSI Long 3.0 AT (340 л.с.) 4WD,6600000,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,40 TFSI 2.0 AMT (190 л.с.),2940000,RUR,False
Audi,Q3,2013,43800,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,170,2.0 AMT (170 л.с.) 4WD,1630000,RUR,False
Audi,e-tron,2020,0,ELECTRO,ALL_WHEEL_DRIVE,0000CC,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,408,55 Electro AT (301 кВт) 4WD,7300011,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,40 TFSI 2.0 AMT (190 л.с.),2800000,RUR,False
Audi,80,1987,250000,GASOLINE,FORWARD_CONTROL,CACECB,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,75,1.8 AT (75 л.с.),55000,RUR,False
Audi,A4,2011,112000,GASOLINE,FORWARD_CONTROL,FAFBFB,SEDAN,4,LEFT,WAU**************,1,NOT_BEATEN,120,1.8 CVT (120 л.с.),799000,RUR,False
Audi,A6,2006,172000,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,177,2.4 CVT (177 л.с.),370000,RUR,False
Audi,A4,2011,136000,GASOLINE,FORWARD_CONTROL,97948F,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,160,1.8 CVT (160 л.с.),670000,RUR,False
Audi,S8,2014,92000,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,520,4.0 AT (520 л.с.) 4WD,3500000,RUR,False
Audi,A4,2010,132000,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,211,2.0 AT (211 л.с.) 4WD,749000,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,FAFBFB,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,150,35 TFSI 2.0 AMT (150 л.с.),3240000,RUR,False
Audi,A3,2020,0,GASOLINE,FORWARD_CONTROL,97948F,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,2.0 AMT (190 л.с.),2004069,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,40 TFSI 2.0 AMT (190 л.с.),2800000,RUR,False
Audi,A5,2016,130000,GASOLINE,ALL_WHEEL_DRIVE,0000CC,COUPE,2,LEFT,WAU**************,1,NOT_BEATEN,230,2.0 AMT (230 л.с.) 4WD,1700000,RUR,False
Audi,Q5,2014,121000,GASOLINE,ALL_WHEEL_DRIVE,040001,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,225,2.0 AT (225 л.с.) 4WD,1559000,RUR,False
Audi,A4,2020,0,GASOLINE,FORWARD_CONTROL,97948F,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,190,40 TFSI 2.0 AMT (190 л.с.),2940000,RUR,False
Audi,Q8,2019,17380,DIESEL,ALL_WHEEL_DRIVE,97948F,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,249,45 TDI 3.0d AT (249 л.с.) 4WD,6790000,RUR,False
Audi,S8,2016,40000,GASOLINE,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WUA**************,3,NOT_BEATEN,605,4.0 AT (605 л.с.) 4WD,6000000,RUR,False
Audi,Q7,2007,175800,GASOLINE,ALL_WHEEL_DRIVE,0000CC,ALLROAD_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,280,3.6 AT (280 л.с.) 4WD,675000,RUR,False
Audi,Q7,2013,109000,GASOLINE,ALL_WHEEL_DRIVE,200204,ALLROAD_5_DOORS,5,LEFT,XW8**************,1,NOT_BEATEN,272,3.0 AT (272 л.с.) 4WD,1750000,RUR,False
Audi,Q3,2012,68696,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,170,2.0 AMT (170 л.с.) 4WD,1089000,RUR,False
Audi,Q3,2013,80000,GASOLINE,ALL_WHEEL_DRIVE,FAFBFB,ALLROAD_5_DOORS,5,LEFT,WAU**************,1,NOT_BEATEN,170,2.0 AMT (170 л.с.) 4WD,1299999,RUR,False
Audi,S6,2015,77000,GASOLINE,ALL_WHEEL_DRIVE,0000CC,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,450,4.0 AMT (450 л.с.) 4WD,2700000,RUR,False
Audi,A8,2020,0,DIESEL,ALL_WHEEL_DRIVE,040001,SEDAN,4,LEFT,WAU**************,0,NOT_BEATEN,249,45 TDI Long 3.0d AT (249 л.с.) 4WD,10517765,RUR,False
Audi,A6,2003,182000,GASOLINE,ALL_WHEEL_DRIVE,4A2197,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,170,2.4 AT (170 л.с.) 4WD,345000,RUR,False
Audi,A5,2012,64000,GASOLINE,ALL_WHEEL_DRIVE,200204,COUPE,2,LEFT,WAU**************,1,NOT_BEATEN,211,2.0 AMT (211 л.с.) 4WD,1395000,RUR,False
Audi,A4,2014,83022,GASOLINE,FORWARD_CONTROL,FAFBFB,SEDAN,4,LEFT,WAU**************,1,NOT_BEATEN,170,1.8 CVT (170 л.с.),1135000,RUR,False
Audi,Q5,2020,0,DIESEL,ALL_WHEEL_DRIVE,040001,ALLROAD_5_DOORS,5,LEFT,WAU**************,0,NOT_BEATEN,249,3.0d AT (249 л.с.) 4WD,4461323,RUR,False
Audi,A3,2005,176000,GASOLINE,FORWARD_CONTROL,040001,HATCHBACK_5_DOORS,5,LEFT,WAU**************,3,NOT_BEATEN,150,2.0 AT (150 л.с.),420000,RUR,False
Audi,A8,2008,123000,GASOLINE,FORWARD_CONTROL,040001,SEDAN,4,LEFT,WAU**************,3,NOT_BEATEN,260,Long 3.1 CVT (260 л.с.),570000,RUR,False
Audi,A3,2008,167000,GASOLINE,FORWARD_CONTROL,200204,HATCHBACK_5_DOORS,5,LEFT,WAU**************,2,NOT_BEATEN,160,1.8 AMT (160 л.с.),465000,RUR,False
